"SortId";"Name";"Root";"Root_it";"Quality";"Inversion";"Rootless_V_Off_3rd";"Rootless_V_Off_7th";"Rootless_V_Off_3rd_RH";"Rootless_V_Off_3rd_LH";"Rootless_V_Off_3rd_RH";"Rootless_V_Off_3rd_LH";"Rootless_V_Off_3rd_lilypond";"Rootless_V_Off_3rd_lilypondimg";"Rootless_V_Off_7th_lilypond";"Rootless_V_Off_7th_lilypondimg";"Rootless_V_Off_3rd_ABC";"Rootless_V_Off_3rd_ABC_mp3";"Rootless_V_Off_7th_ABC";"Rootless_V_Off_7th_ABC_mp3";"GuideTones_V_Off_3rd";"GuideTones_V_Off_7th";"GuideTones_V_Off_3rd_RH";"GuideTones_V_Off_3rd_LH";"GuideTones_V_Off_3rd_RH";"GuideTones_V_Off_3rd_LH";"GuideTones_V_Off_3rd_lilypond";"GuideTones_V_Off_3rd_lilypondimg";"GuideTones_V_Off_7th_lilypond";"GuideTones_V_Off_7th_lilypondimg";"GuideTones_V_Off_3rd_ABC";"GuideTones_V_Off_3rd_ABC_mp3";"GuideTones_V_Off_7th_ABC";"GuideTones_V_Off_7th_ABC_mp3";"FourNotesSh_Ext_V_Off_3rd";"FourNotesSh_Ext_V_Off_7th";"FourNotesSh_Ext_V_Off_3rd_RH";"FourNotesSh_Ext_V_Off_3rd_LH";"FourNotesSh_Ext_V_Off_3rd_RH";"FourNotesSh_Ext_V_Off_3rd_LH";"FourNotesSh_Ext_V_Off_3rd_lilypond";"FourNotesSh_Ext_V_Off_3rd_lilypondimg";"FourNotesSh_Ext_V_Off_7th_lilypond";"FourNotesSh_Ext_V_Off_7th_lilypondimg";"FourNotesSh_Ext_V_Off_3rd_ABC";"FourNotesSh_Ext_V_Off_3rd_ABC_mp3";"FourNotesSh_Ext_V_Off_7th_ABC";"FourNotesSh_Ext_V_Off_7th_ABC_mp3"
16;"Bb 7 4 / 2";"Bb";"Sib";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"C 7 4 / 2";"C";"Do";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"D 7 4 / 2";"D";"Re";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"Db 7 4 / 2";"Db";"Reb";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"E 7 4 / 2";"E";"Mi";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"Eb 7 4 / 2";"Eb";"Mib";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"F 7 4 / 2";"F";"Fa";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"F # 7 4 / 2";"F #";"Fa";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
16;"G 7 4 / 2";"G";"Sol";"7";"4 / 2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"A half dim  ";"A";"La";"half dim";" ";"Do Sol";"Sol Do";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"La Do Sol";"La Sol Do";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"Ab half dim  ";"Ab";"Lab";"half dim";" ";"Si Solb";"Solb Si";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Lab Si Solb";"Lab Solb Si";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"B half dim  ";"B";"Si";"half dim";" ";"Re La";"La Re";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Si Re La";"Si La Re";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"Bb half dim  ";"Bb";"Sib";"half dim";" ";"Reb Lab";"Lab Reb";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Sib Reb Lab";"Sib Lab Reb";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"C half dim  ";"C";"Do";"half dim";" ";"Mib Sib";"Sib Mib";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Do Mib Sib";"Do Sib Mib";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"D half dim  ";"D";"Re";"half dim";" ";"Fa Do";"Do Fa";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Re Fa Do";"Re Do Fa";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"Db half dim  ";"Db";"Reb";"half dim";" ";"Mi Si";"Si Mi";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Reb Mi Si";"Reb Si Mi";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"E half dim  ";"E";"Mi";"half dim";" ";"Sol Re";"Re Sol";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Mi Sol Re";"Mi Re Sol";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"Eb half dim  ";"Eb";"Mib";"half dim";" ";"Solb Reb";"Reb Solb";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Mib Solb Reb";"Mib Reb Solb";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"F half dim  ";"F";"Fa";"half dim";" ";"Lab Mib";"Mib Lab";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Fa Lab Mib";"Fa Mib Lab";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"F # half dim  ";"F #";"Fa";"half dim";" ";"Lab Mib";"Mib Lab";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Fa Lab Mib";"Fa Mib Lab";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
10;"G half dim  ";"G";"Sol";"half dim";" ";"Sib Fa";"Fa Sib";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Sol Sib Fa";"Sol Fa Sib";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"A half dim 6";"A";"La";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"Ab half dim 6";"Ab";"Lab";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"B half dim 6";"B";"Si";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"Bb half dim 6";"Bb";"Sib";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"C half dim 6";"C";"Do";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"D half dim 6";"D";"Re";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"Db half dim 6";"Db";"Reb";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"E half dim 6";"E";"Mi";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"Eb half dim 6";"Eb";"Mib";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"F half dim 6";"F";"Fa";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
12;"F # half dim 6";"F #";"Fa";"half dim";"6";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
